Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:54Z , 0.078125 , -0.75 , 0.296875  , -0.7375 , 0.37000000000000016 , -0.5625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:55Z , -0.5078125 , -0.9296875 , 0.02734375  , -1.5078125 , 0.6140625000000001 , -0.97265625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:55Z , -0.5078125 , -0.9296875 , 0.02734375  , -1.20625 , 0.3053125000000001 , -0.7781250000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:56Z , 0.46875 , -0.7890625 , 0.3984375  , -0.53125 , 0.6421875000000001 , -0.6015625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:56Z , 0.46875 , -0.7890625 , 0.3984375  , -0.42500000000000004 , 0.3559375000000002 , -0.48125000000000007
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:57Z , -0.21875 , -0.84765625 , 0.1875  , -1.21875 , 0.6304687500000001 , -0.8125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:57Z , -0.21875 , -0.84765625 , 0.1875  , -0.9750000000000001 , 0.33484375000000016 , -0.65
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:58Z , -0.63671875 , -0.796875 , 0.0390625  , -1.63671875 , 0.6406250000000001 , -0.9609375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:58Z , -0.63671875 , -0.796875 , 0.0390625  , -1.3093750000000002 , 0.35312500000000013 , -0.76875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:58Z , 1.05859375 , -0.6875 , 0.3671875  , 0.05859375 , 0.6625000000000001 , -0.6328125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:58Z , 1.05859375 , -0.6875 , 0.3671875  , 0.046875 , 0.3925000000000002 , -0.5062500000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:59Z , -0.5 , -0.828125 , 0.12890625  , -1.5 , 0.6343750000000001 , -0.87109375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:52:59Z , -0.5 , -0.828125 , 0.12890625  , -1.2000000000000002 , 0.3418750000000002 , -0.696875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:00Z , 0.0390625 , -0.71875 , 0.3984375  , -0.9609375 , 0.6562500000000001 , -0.6015625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:00Z , 0.0390625 , -0.71875 , 0.3984375  , -0.76875 , 0.3812500000000002 , -0.48125000000000007
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:01Z , 0.56640625 , -0.66796875 , 0.46875  , -0.43359375 , 0.6664062500000001 , -0.53125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:01Z , 0.56640625 , -0.66796875 , 0.46875  , -0.34687500000000004 , 0.3995312500000001 , -0.42500000000000004
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:02Z , -0.81640625 , -0.828125 , 0.0390625  , -1.81640625 , 0.6343750000000001 , -0.9609375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:02Z , -0.81640625 , -0.828125 , 0.0390625  , -1.453125 , 0.3418750000000002 , -0.76875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:03Z , 1.02734375 , -0.62890625 , 0.4296875  , 0.02734375 , 0.6742187500000001 , -0.5703125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:04Z , -0.44921875 , -0.76953125 , 0.21875  , -1.44921875 , 0.6460937500000001 , -0.78125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:03Z , 1.02734375 , -0.62890625 , 0.4296875  , 0.02187500000000009 , 0.4135937500000001 , -0.45625000000000004
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:04Z , -0.44921875 , -0.76953125 , 0.21875  , -1.159375 , 0.3629687500000001 , -0.625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:05Z , -0.20703125 , -0.73828125 , 0.38671875  , -1.20703125 , 0.6523437500000001 , -0.61328125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:05Z , -0.20703125 , -0.73828125 , 0.38671875  , -0.9656250000000001 , 0.37421875000000016 , -0.4906250000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:06Z , 0.578125 , -0.56640625 , 0.6171875  , -0.421875 , 0.68671875 , -0.3828125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:06Z , 0.578125 , -0.56640625 , 0.6171875  , -0.3375 , 0.43609375000000006 , -0.30625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:20Z , 0.296875 , -0.80859375 , -0.65625  , -0.703125 , 0.6382812500000001 , -1.65625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:20Z , 0.296875 , -0.80859375 , -0.65625  , -0.5625 , 0.34890625000000014 , -1.3250000000000002
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:21Z , 0.5 , -0.63671875 , -0.65625  , -0.5 , 0.6726562500000001 , -1.65625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:21Z , 0.5 , -0.63671875 , -0.65625  , -0.4 , 0.4107812500000001 , -1.3250000000000002
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:22Z , -0.09765625 , -0.59765625 , 0.296875  , -1.09765625 , 0.6804687500000001 , -0.703125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:23Z , -0.359375 , -0.63671875 , 0.6171875  , -1.359375 , 0.6726562500000001 , -0.3828125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:22Z , -0.09765625 , -0.59765625 , 0.296875  , -0.878125 , 0.4248437500000001 , -0.5625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:23Z , -0.359375 , -0.63671875 , 0.6171875  , -1.0875 , 0.4107812500000001 , -0.30625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:24Z , -0.3671875 , -0.609375 , 0.65625  , -1.3671875 , 0.6781250000000001 , -0.34375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:24Z , -0.3671875 , -0.609375 , 0.65625  , -1.09375 , 0.42062500000000014 , -0.275
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:25Z , -0.2578125 , -0.73828125 , 0.56640625  , -1.2578125 , 0.6523437500000001 , -0.43359375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:25Z , -0.2578125 , -0.73828125 , 0.56640625  , -1.00625 , 0.37421875000000016 , -0.34687500000000004
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:26Z , -0.30859375 , -0.7265625 , 0.52734375  , -1.30859375 , 0.6546875000000001 , -0.47265625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:26Z , -0.30859375 , -0.7265625 , 0.52734375  , -1.046875 , 0.3784375000000001 , -0.37812500000000004
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:27Z , -0.2890625 , -0.7578125 , 0.5078125  , -1.2890625 , 0.6484375000000001 , -0.4921875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:27Z , -0.2890625 , -0.7578125 , 0.5078125  , -1.03125 , 0.3671875000000002 , -0.39375000000000004
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:28Z , -0.2578125 , -0.828125 , 0.1171875  , -1.2578125 , 0.6343750000000001 , -0.8828125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:28Z , -0.2578125 , -0.828125 , 0.1171875  , -1.00625 , 0.3418750000000002 , -0.70625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:28Z , -0.55859375 , -0.63671875 , 0.0390625  , -1.55859375 , 0.6726562500000001 , -0.9609375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:28Z , -0.55859375 , -0.63671875 , 0.0390625  , -1.2468750000000002 , 0.4107812500000001 , -0.76875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:29Z , 0.84765625 , -0.58984375 , 0.52734375  , -0.15234375 , 0.6820312500000001 , -0.47265625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:29Z , 0.84765625 , -0.58984375 , 0.52734375  , -0.12187499999999996 , 0.4276562500000002 , -0.37812500000000004
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:30Z , -0.55859375 , -0.796875 , -0.0390625  , -1.55859375 , 0.6406250000000001 , -1.0390625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:30Z , -0.55859375 , -0.796875 , -0.0390625  , -1.2468750000000002 , 0.35312500000000013 , -0.83125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:31Z , 0.0390625 , -0.69921875 , 0.31640625  , -0.9609375 , 0.6601562500000001 , -0.68359375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:31Z , 0.0390625 , -0.69921875 , 0.31640625  , -0.76875 , 0.38828125000000013 , -0.546875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:32Z , 0.26953125 , -0.609375 , 0.58984375  , -0.73046875 , 0.6781250000000001 , -0.41015625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:33Z , -0.73828125 , -0.71875 , -0.5  , -1.73828125 , 0.6562500000000001 , -1.5
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:32Z , 0.26953125 , -0.609375 , 0.58984375  , -0.5843750000000001 , 0.42062500000000014 , -0.328125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:33Z , -0.73828125 , -0.71875 , -0.5  , -1.390625 , 0.3812500000000002 , -1.2000000000000002
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:35Z , 0.51953125 , -0.56640625 , 0.6171875  , -0.48046875 , 0.68671875 , -0.3828125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:35Z , 0.51953125 , -0.56640625 , 0.6171875  , -0.384375 , 0.43609375000000006 , -0.30625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:36Z , -0.8984375 , -0.70703125 , -0.26953125  , -1.8984375 , 0.6585937500000001 , -1.26953125
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:36Z , -0.8984375 , -0.70703125 , -0.26953125  , -1.51875 , 0.38546875000000014 , -1.015625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:37Z , -0.15625 , -0.52734375 , 0.65625  , -1.15625 , 0.69453125 , -0.34375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:37Z , -0.15625 , -0.52734375 , 0.65625  , -0.925 , 0.45015625000000004 , -0.275
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:38Z , 0.20703125 , -0.359375 , 0.7265625  , -0.79296875 , 0.728125 , -0.2734375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:38Z , 0.20703125 , -0.359375 , 0.7265625  , -0.634375 , 0.510625 , -0.21875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:38Z , -0.7578125 , -0.73828125 , -0.27734375  , -1.7578125 , 0.6523437500000001 , -1.27734375
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:38Z , -0.7578125 , -0.73828125 , -0.27734375  , -1.40625 , 0.37421875000000016 , -1.021875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:39Z , 0.83984375 , 0.05859375 , 0.8984375  , -0.16015625 , 0.81171875 , -0.1015625
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:39Z , 0.83984375 , 0.05859375 , 0.8984375  , -0.12812500000000004 , 0.66109375 , -0.08125000000000004
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:40Z , 0.44921875 , -0.1796875 , 0.73828125  , -0.55078125 , 0.7640625000000001 , -0.26171875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:40Z , 0.44921875 , -0.1796875 , 0.73828125  , -0.44062500000000004 , 0.5753125000000001 , -0.20937499999999998
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:41Z , -0.9296875 , -0.3671875 , -0.19921875  , -1.9296875 , 0.7265625 , -1.19921875
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:41Z , -0.9296875 , -0.3671875 , -0.19921875  , -1.5437500000000002 , 0.5078125 , -0.9593750000000001
Mac= AC233FA229DB , TimeStamp= 2021-01-21T14:53:42Z , -0.37890625 , -0.73828125 , -0.15625  , -1.37890625 , 0.6523437500000001 , -1.15625
